timestamp,ICMP loss,ICMP ping,ICMP response time,B12_ Bits_ received,B12_ Bits_ sent,B12_Duplex_ status,B12_ Inbound_ packets_ discarded,B12_ Inbound_ packets_ with_ errors,B12_Interface_ type,B12_ Operational_ status,B12_Outbound_ packets_ discarded,B12_Outbound_ packets_ with_ errors,B12_ Speed,B13_ Bits_ received,B13_ Bits_ sent,B13_ Duplex_ status,B13_ Inbound_ packets_ discarded,B13_ Inbound_ packets_ with_ errors,B13_ Interface type,B13_ Operational_ status,B13_ Outbound_ packets_ discarded,B13_Outbound_ packets_ with_ errors,B13_Speed,C3_ Bits_ received,C3_ Bits_ sent,C3_ Duplex_ status,C3_ Inbound_ packets_ discarded,C3_ Inbound_ packets_ with_ errors,C3_ Interface_ type,C3_Operational_ status,C3_ Outbound_ packets_ discarded,C3_ Outbound_ packets_ with_ errors,C3_ Speed,B14_Bits_ received,B14_ Bits_ sent,B14_Inbound_ packets_ discarded,B14_Inbound_ packets_ with_ errors,B14_Interface_ type,B14_ Operational_ status,B14_ Outbound_ packets_ discarded,B14_ Outbound_ packets_ with_ errors,B14_ Speed,SNMP agent availability,Uptime (network),class,router_name,hop_to_server,hop_to_core,downstream_dependents,path_up
1761836520,0,1,0.661333333,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,39325,997661,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30686,H,CORE-R6,5,3,1,1
1761836580,0,1,0.286933333,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,39051,980355,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30746,H,CORE-R6,5,3,1,1
1761836640,0,1,0.602666667,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,38776,963048,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30806,H,CORE-R6,5,3,1,1
1761836700,0,1,0.535666667,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,38632,964648,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30866,H,CORE-R6,5,3,1,1
1761836760,0,1,0.527,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,38488,966248,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30926,H,CORE-R6,5,3,1,1
1761836820,0,1,0.846,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,38344,967848,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,30986,H,CORE-R6,5,3,1,1
1761836880,100,0,0,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,38661,983571,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,31047,T,CORE-R6,5,3,1,1
1761836940,0,1,0.366966667,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,38979,999293,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,31106,H,CORE-R6,5,3,1,1
1761837000,0,1,0.53,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,39296,1015016,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,31166,H,CORE-R6,5,3,1,1
1761837060,0,1,0.323,120,168,2,0,0,6,1,0,0,10000000,120,168,2,0,0,6,1,0,0,10000000,39155,1003584,3,0,0,6,1,0,0,100000000,0,0,0,0,6,1,0,0,100000000,1,31226,H,CORE-R6,5,3,1,1
